CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 2 (generic) — Retail 30-day (standard),$20,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 2 (generic) — Retail 90-day (standard),$60,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 3 (preferred brand) — Long-term care,25%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 3 (preferred brand) — Mail 90-day,25%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 3 (preferred brand) — Mail 90-day (preferred),25%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 3 (preferred brand) — Out of network,25%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 3 (preferred brand) — Retail 30-day (standard),25%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 3 (preferred brand) — Retail 90-day (standard),25%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 4 (non-preferred) — Long-term care,50%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 4 (non-preferred) — Mail 90-day,50%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 4 (non-preferred) — Mail 90-day (preferred),40%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 4 (non-preferred) — Out of network,50%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 4 (non-preferred) — Retail 30-day (standard),50%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 4 (non-preferred) — Retail 90-day (standard),50%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 5 (specialty) — Long-term care,25%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 5 (specialty) — Out of network,25%,CMS,,,
S4802-143-000,Wellcare,Wellcare Value Script (PDP),2026,Tier 5 (specialty) — Retail 30-day (standard),25%,CMS,,,
