CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Mental health (group),$30,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Substance abuse (individual),$30,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Partial hospitalization,$30,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Annual physical exam,$0,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Preventive services,$0,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Wellness programs,$0,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Rx deductible,"$100 (tiers 1,2,6 exempt)",CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Dental - allowance,"$2,000 per year",CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Dental - preventive,$30,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Dental - restorative,$0 (1 per month),CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Dental - endodontics,$0 (Endodontic Services are covered once per tooth per lifetime.),CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Dental - periodontics,$0 (See detailed note below.),CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Dental - extractions,$0 (Complete and partial dentures covered 1 per arch every 60 months.),CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Dental - other comprehensive,$0,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Vision - routine eye exam,$0 (1 per year),CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Vision - eyeglasses,$0,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Vision - contact lenses,$0,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Vision - eyewear (post-cataract),$0,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Hearing - routine exam,$0 (1 per year),CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Hearing aids,$499 - $999 (2 per year),CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,OTC allowance,$30 per visit,CMS,,,
H3404-003-002,BCBS,Blue Medicare PPO Enhanced (PPO),2026,Meals,$0,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Premium,Not Applicable,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Max out-of-pocket,"$9,250.00",CMS,,,
